time_stamp,velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,wind1,wind2
15:26:00.781,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:00.959,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:01.103,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:01.252,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:01.441,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:01.591,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:01.738,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:01.957,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:02.109,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:02.411,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:02.571,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:02.728,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:02.997,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:03.150,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
15:26:03.439,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.116179,0.000000,0.000000,0.000000,0,0
